# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
204.7896	1.9138	1.6504
204.9420	1.9200	1.6505
205.0944	1.9069	1.6507
205.2468	1.8815	1.6508
205.3992	1.8637	1.6509
205.5516	1.8456	1.6510
205.7040	1.8326	1.6511
205.8564	1.8244	1.6512
206.0088	1.8178	1.6513
206.1612	1.8291	1.6514
206.3136	1.8333	1.6516
206.4660	1.8685	1.6517
206.6184	1.8917	1.6518
206.7708	1.9109	1.6519
206.9232	1.9218	1.6520
207.0756	1.9034	1.6521
207.2280	1.8997	1.6522
207.3804	1.8899	1.6524
207.5328	1.8821	1.6525
207.6852	1.8823	1.6526
207.8376	1.8735	1.6527
207.9900	1.8679	1.6528
208.1424	1.8702	1.6529
208.2948	1.8655	1.6530
208.4472	1.8614	1.6532
208.5996	1.8708	1.6533
208.7520	1.8739	1.6534
208.9044	1.8654	1.6535
209.0568	1.8603	1.6536
209.2092	1.8724	1.6537
209.3616	1.8861	1.6538
209.5140	1.9056	1.6540
209.6664	1.9048	1.6541
209.8188	1.9094	1.6542
209.9712	1.9149	1.6543
210.1236	1.9282	1.6544
210.2760	1.9232	1.6545
210.4284	1.9128	1.6547
210.5808	1.9088	1.6548
210.7332	1.9002	1.6549
210.8856	1.8978	1.6550
211.0380	1.8919	1.6551
211.1904	1.8898	1.6552
211.3428	1.8935	1.6553
211.4952	1.9018	1.6555
211.6476	1.9055	1.6556
211.8000	1.9051	1.6557
211.9524	1.9110	1.6558
212.1048	1.9081	1.6559
212.2572	1.9031	1.6560
212.4096	1.9059	1.6562
212.5620	1.9171	1.6563
212.7144	1.9096	1.6564
212.8668	1.9040	1.6565
213.0192	1.9132	1.6566
213.1716	1.9143	1.6567
213.3240	1.9175	1.6569
213.4764	1.9188	1.6570
213.6288	1.9252	1.6571
213.7812	1.9302	1.6572
213.9336	1.9176	1.6573
214.0860	1.9103	1.6574
214.2384	1.8980	1.6575
214.3908	1.8979	1.6577
214.5432	1.9009	1.6578
214.6956	1.9041	1.6579
214.8480	1.9008	1.6580
215.0004	1.8920	1.6581
215.1528	1.8886	1.6583
215.3052	1.8921	1.6584
215.4576	1.8997	1.6585
215.6100	1.9081	1.6586
215.7624	1.9168	1.6587
215.9148	1.9238	1.6588
216.0672	1.9280	1.6590
216.2196	1.9343	1.6591
216.3720	1.9308	1.6592
216.5244	1.9264	1.6593
216.6768	1.9246	1.6594
216.8292	1.9206	1.6595
216.9816	1.9269	1.6597
217.1340	1.9286	1.6598
217.2864	1.9325	1.6599
217.4388	1.9428	1.6600
217.5912	1.9364	1.6601
217.7436	1.9227	1.6602
217.8960	1.9198	1.6604
218.0484	1.9189	1.6605
218.2008	1.9215	1.6606
218.3532	1.9256	1.6607
218.5056	1.9266	1.6608
218.6580	1.9418	1.6610
218.8104	1.9357	1.6611
218.9628	1.9301	1.6612
219.1152	1.9222	1.6613
219.2676	1.9196	1.6614
219.4200	1.9185	1.6615
219.5724	1.9157	1.6617
219.7248	1.9140	1.6618
219.8772	1.9183	1.6619
220.0296	1.9213	1.6620
220.1820	1.9205	1.6621
220.3344	1.9218	1.6623
220.4868	1.9260	1.6624
220.6392	1.9246	1.6625
220.7916	1.9288	1.6626
220.9440	1.9305	1.6627
221.0964	1.9379	1.6629
221.2488	1.9487	1.6630
221.4012	1.9496	1.6631
221.5536	1.9445	1.6632
221.7060	1.9372	1.6633
221.8584	1.9440	1.6635
222.0108	1.9361	1.6636
222.1632	1.9453	1.6637
222.3156	1.9432	1.6638
222.4680	1.9437	1.6639
222.6204	1.9515	1.6640
222.7728	1.9514	1.6642
222.9252	1.9496	1.6643
223.0776	1.9471	1.6644
223.2300	1.9504	1.6645
223.3824	1.9518	1.6646
